config,label,seed,csv,episodes,final_avg10,final_avg50,best_train_reward,final_eval,best_eval
bp_q,BP actor / BP critic (TD3 Q),1,python_runs/halfcheetah_td3_bp_q_seed1_100000.csv,100,3359.711783674792,2898.139185002835,4145.5245297246365,3843.6692036201493,3893.343901707949
bp_q,BP actor / BP critic (TD3 Q),7,python_runs/halfcheetah_td3_bp_q_seed7_100000.csv,100,3518.9503541373115,2956.4638841913666,4058.1008913861783,3027.2956878028194,4056.7613411964885
bp_q,BP actor / BP critic (TD3 Q),21,python_runs/halfcheetah_td3_bp_q_seed21_100000.csv,100,3534.6019592884186,3099.897894212457,4018.147888954054,3920.242328093275,3920.242328093275
bp_q,BP actor / BP critic (TD3 Q),42,python_runs/halfcheetah_td3_bp_q_seed42_100000.csv,100,3369.658972260741,3276.165987019109,3980.2969132104463,3990.6157466164354,3990.6157466164354
bp_q,BP actor / BP critic (TD3 Q),84,python_runs/halfcheetah_td3_bp_q_seed84_100000.csv,100,3851.5978878963733,3334.925146052564,4198.755864696563,4199.738943462647,4199.738943462647
bp_aif,"BP actor / BP critic (AIF, G=-Q)",1,python_runs/halfcheetah_td3_bp_aif_seed1_100000.csv,100,3359.711783674792,2898.139185002835,4145.5245297246365,3843.6692036201493,3893.343901707949
bp_aif,"BP actor / BP critic (AIF, G=-Q)",7,python_runs/halfcheetah_td3_bp_aif_seed7_100000.csv,100,3518.9503541373115,2956.4638841913666,4058.1008913861783,3027.2956878028194,4056.7613411964885
bp_aif,"BP actor / BP critic (AIF, G=-Q)",21,python_runs/halfcheetah_td3_bp_aif_seed21_100000.csv,100,3534.6019592884186,3099.897894212457,4018.147888954054,3920.242328093275,3920.242328093275
bp_aif,"BP actor / BP critic (AIF, G=-Q)",42,python_runs/halfcheetah_td3_bp_aif_seed42_100000.csv,100,3369.658972260741,3276.165987019109,3980.2969132104463,3990.6157466164354,3990.6157466164354
bp_aif,"BP actor / BP critic (AIF, G=-Q)",84,python_runs/halfcheetah_td3_bp_aif_seed84_100000.csv,100,3851.5978878963733,3334.925146052564,4198.755864696563,4199.738943462647,4199.738943462647
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",1,python_runs/halfcheetah_td3_pcpc_aif_bpequiv_seed1_100000.csv,100,3102.366214079418,2867.004749467916,3458.420759080243,3556.7156228358976,3556.7156228358976
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",7,python_runs/halfcheetah_td3_pcpc_aif_bpequiv_seed7_100000.csv,100,3796.27450379563,2982.314078878948,4198.654304149664,4470.580049405864,4470.580049405864
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",21,python_runs/halfcheetah_td3_pcpc_aif_bpequiv_seed21_100000.csv,100,3435.4710195591606,2619.1238908763858,3773.7523773572884,3750.032156882548,3750.032156882548
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",42,python_runs/halfcheetah_td3_pcpc_aif_bpequiv_seed42_100000.csv,100,3522.0724422069734,2830.664349579408,3794.044968780479,3687.905493264066,3687.905493264066
pcpc_aif_bpequiv,"PC actor / PC critic (AIF, BP-equivalent PC update)",84,python_runs/halfcheetah_td3_pcpc_aif_bpequiv_seed84_100000.csv,100,2783.019094221875,2981.9071399359846,3716.3836201478694,3558.7426862247526,3558.7426862247526
